"fund_type","fund_name","fund_number"
"Airport Funds","Airports Fund","C700033"
"Airport Funds","Airports Speed Capital Improvement","C700029"
"Airport Funds","BF Elec. Upht. Phase D 2 & 3 Grant","C700032"
"Airport Funds","Brown Field Special Aviation","C700028"
"Airport Funds","Montgomery Field Special Aviation","C700030"
"Antenna Lease Fund","Antenna Lease Revenue Fund","C200324"
"Bond Financing","2001A (TE) Bonds (Oper)-Ctr City","C400332"
"Bond Financing","99A (TE) Bonds (Oper)-City Hts","C400308"
"Bond Financing","Ballpark Infrastructure-2001 Bonds","C400159"
"Bond Financing","CCE-2004A (TE) Bonds (Oper)","C400369"
"Bond Financing","CH-TAB 2010A (TE) Proceeds","C400694"
"Bond Financing","CH-TAB 2010B (T) Proceeds","C400695"
"Bond Financing","CR-TAB 2010A (TE) Proceeds","C400696"
"Bond Financing","General Fund Commercial Paper Notes","C400869"
"Bond Financing","NP 2000 TE Bonds RF-Oper","C400306"
"Bond Financing","NP 2003A (T) Bonds RF Oper","C400312"
"Bond Financing","NP 2003B (TE) Bonds Oper","C400317"
"Bond Financing","NP-TAB 2009A (TE) Proceeds","C400672"
"Bond Financing","PFFA-FLSF 2002B-Construction","C400157"
"Bond Financing","SC/Taxable TI Bonds 2007A","C400315"
"Bond Financing","SC/TE TI Bonds 2007B","C400309"
"Bond Financing","SDTFC Series 2018C Tax Exempt","C400868"
"Bond Financing","SY-TAB 2010A (TE) Proceeds","C400698"
"Bond Financing","SY-TAB 2010B (T) Proceeds","C400699"
"Bond Financing","TransNet Bond Proceeds","C400160"
"Bus Stop Capital Improvement Fund","Bus Stop Capital Improvement Fund","C400691"
"Capital Outlay - Land Sales","Capital Outlay Fund","C400002"
"Capital Outlay - Other","Capital Outlay-Industrial Development","C400005"
"Capital Outlay - Other","Capital Outlay-Sales Tax","C400000"
"Capital Outlay - Other","UCSD Fire Station","C400871"
"Capital Outlay - Police Decentralization Land Sales","C.O.-Pueblo Land/Pol. Decentra","C400006"
"Capital Project Funds","Capital Outlay Fund","400002"
"Capital Project Funds","CITY-BL-General Fund","400724"
"Capital Project Funds","CITY-BL-Tax Increment for Capital","400831"
"Capital Project Funds","City-CC-Tax Increment for Capital Projects","400703"
"Capital Project Funds","CITY-CG-Tax Increment for Capital","400837"
"Capital Project Funds","CITY-CI-Tax Increment for Capital","400827"
"Capital Project Funds","CITY-CR-Tax Increment for Capital","400839"
